Country_region,date,cases
Japan,2020-01-22,2
Japan,2020-01-23,1
Japan,2020-01-24,2
Japan,2020-01-25,2
Japan,2020-01-26,4
Japan,2020-01-27,4
Japan,2020-01-28,7
Japan,2020-01-29,7
Japan,2020-01-30,11
Japan,2020-01-31,15
Japan,2020-02-01,20
Japan,2020-02-02,20
Japan,2020-02-03,20
Japan,2020-02-04,22
Japan,2020-02-05,22
Japan,2020-02-06,45
Japan,2020-02-07,25
Japan,2020-02-08,25
Japan,2020-02-09,26
Japan,2020-02-10,26
Japan,2020-02-11,26
Japan,2020-02-12,28
Japan,2020-02-13,28
Japan,2020-02-14,29
Japan,2020-02-15,43
Japan,2020-02-16,59
Japan,2020-02-17,66
Japan,2020-02-18,74
Japan,2020-02-19,84
Japan,2020-02-20,94
Japan,2020-02-21,105
Japan,2020-02-22,122
Japan,2020-02-23,147
Japan,2020-02-24,159
Japan,2020-02-25,170
Japan,2020-02-26,189
Japan,2020-02-27,214
Japan,2020-02-28,228
Japan,2020-02-29,241
Japan,2020-03-01,256
Japan,2020-03-02,274
Japan,2020-03-03,293
Japan,2020-03-04,331
Japan,2020-03-05,360
Japan,2020-03-06,420
Japan,2020-03-07,461
Japan,2020-03-08,502
Japan,2020-03-09,511
Japan,2020-03-10,581
Japan,2020-03-11,639
Japan,2020-03-12,639
Japan,2020-03-13,701
Japan,2020-03-14,773
Germany,2020-01-22,0
Germany,2020-01-23,0
Germany,2020-01-24,0
Germany,2020-01-25,0
Germany,2020-01-26,0
Germany,2020-01-27,1
Germany,2020-01-28,4
Germany,2020-01-29,4
Germany,2020-01-30,4
Germany,2020-01-31,5
Germany,2020-02-01,8
Germany,2020-02-02,10
Germany,2020-02-03,12
Germany,2020-02-04,12
Germany,2020-02-05,12
Germany,2020-02-06,12
Germany,2020-02-07,13
Germany,2020-02-08,13
Germany,2020-02-09,14
Germany,2020-02-10,14
Germany,2020-02-11,16
Germany,2020-02-12,16
Germany,2020-02-13,16
Germany,2020-02-14,16
Germany,2020-02-15,16
Germany,2020-02-16,16
Germany,2020-02-17,16
Germany,2020-02-18,16
Germany,2020-02-19,16
Germany,2020-02-20,16
Germany,2020-02-21,16
Germany,2020-02-22,16
Germany,2020-02-23,16
Germany,2020-02-24,16
Germany,2020-02-25,17
Germany,2020-02-26,27
Germany,2020-02-27,46
Germany,2020-02-28,48
Germany,2020-02-29,79
Germany,2020-03-01,130
Germany,2020-03-02,159
Germany,2020-03-03,196
Germany,2020-03-04,262
Germany,2020-03-05,482
Germany,2020-03-06,670
Germany,2020-03-07,799
Germany,2020-03-08,1040
Germany,2020-03-09,1176
Germany,2020-03-10,1457
Germany,2020-03-11,1908
Germany,2020-03-12,2078
Germany,2020-03-13,3675
Germany,2020-03-14,4585
Italy,2020-01-22,0
Italy,2020-01-23,0
Italy,2020-01-24,0
Italy,2020-01-25,0
Italy,2020-01-26,0
Italy,2020-01-27,0
Italy,2020-01-28,0
Italy,2020-01-29,0
Italy,2020-01-30,0
Italy,2020-01-31,2
Italy,2020-02-01,2
Italy,2020-02-02,2
Italy,2020-02-03,2
Italy,2020-02-04,2
Italy,2020-02-05,2
Italy,2020-02-06,2
Italy,2020-02-07,3
Italy,2020-02-08,3
Italy,2020-02-09,3
Italy,2020-02-10,3
Italy,2020-02-11,3
Italy,2020-02-12,3
Italy,2020-02-13,3
Italy,2020-02-14,3
Italy,2020-02-15,3
Italy,2020-02-16,3
Italy,2020-02-17,3
Italy,2020-02-18,3
Italy,2020-02-19,3
Italy,2020-02-20,3
Italy,2020-02-21,20
Italy,2020-02-22,62
Italy,2020-02-23,155
Italy,2020-02-24,229
Italy,2020-02-25,322
Italy,2020-02-26,453
Italy,2020-02-27,655
Italy,2020-02-28,888
Italy,2020-02-29,1128
Italy,2020-03-01,1694
Italy,2020-03-02,2036
Italy,2020-03-03,2502
Italy,2020-03-04,3089
Italy,2020-03-05,3858
Italy,2020-03-06,4636
Italy,2020-03-07,5883
Italy,2020-03-08,7375
Italy,2020-03-09,9172
Italy,2020-03-10,10149
Italy,2020-03-11,12462
Italy,2020-03-12,12462
Italy,2020-03-13,17660
Italy,2020-03-14,21157
Sweden,2020-01-22,0
Sweden,2020-01-23,0
Sweden,2020-01-24,0
Sweden,2020-01-25,0
Sweden,2020-01-26,0
Sweden,2020-01-27,0
Sweden,2020-01-28,0
Sweden,2020-01-29,0
Sweden,2020-01-30,0
Sweden,2020-01-31,1
Sweden,2020-02-01,1
Sweden,2020-02-02,1
Sweden,2020-02-03,1
Sweden,2020-02-04,1
Sweden,2020-02-05,1
Sweden,2020-02-06,1
Sweden,2020-02-07,1
Sweden,2020-02-08,1
Sweden,2020-02-09,1
Sweden,2020-02-10,1
Sweden,2020-02-11,1
Sweden,2020-02-12,1
